year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,285,widowed,3,83,high school,female,pretty happy,NA,NA,ballot a
2016,286,divorced,3,38,associate/junior college,male,pretty happy,moderately satisfied,38610,ballot c
2016,287,married,1,47,associate/junior college,male,very happy,moderately satisfied,NA,ballot b
2016,288,married,0,28,high school,male,pretty happy,a little dissatisfied,21060,ballot c
2016,289,widowed,2,73,high school,female,pretty happy,NA,21060,ballot a
2016,290,never married,0,31,graduate,female,pretty happy,a little dissatisfied,46800,ballot a
2016,291,married,0,55,graduate,male,very happy,very satisfied,74880,ballot b
2016,292,married,0,61,bachelor's,male,pretty happy,moderately satisfied,21060,ballot b
2016,293,married,2,50,bachelor's,male,very happy,very satisfied,56160,ballot a
2016,294,divorced,2,67,high school,female,very happy,NA,NA,ballot a
2016,295,married,2,41,less than high school,male,very happy,moderately satisfied,12870,ballot c
2016,296,never married,0,22,high school,female,pretty happy,very satisfied,234,ballot b
2016,297,married,1,60,bachelor's,female,pretty happy,very satisfied,NA,ballot a
2016,298,married,2,36,bachelor's,female,very happy,very satisfied,NA,ballot c
2016,299,married,3,39,bachelor's,female,pretty happy,NA,164382.03756,ballot a
2016,300,divorced,0,40,bachelor's,male,pretty happy,moderately satisfied,17550,ballot b
2016,301,never married,1,23,high school,female,pretty happy,very satisfied,NA,ballot a
2016,302,separated,4,63,less than high school,female,not too happy,very dissatisfied,NA,ballot c
2016,303,married,3,60,high school,male,pretty happy,a little dissatisfied,2106,ballot b
2016,304,never married,1,40,high school,male,very happy,NA,1638,ballot a
2016,305,married,5,40,high school,male,pretty happy,NA,21060,ballot a
2016,306,married,0,30,graduate,female,very happy,very satisfied,31590,ballot a
2016,307,separated,5,43,high school,female,very happy,moderately satisfied,NA,ballot b
2016,308,never married,4,52,less than high school,female,pretty happy,very satisfied,4212,ballot b
2016,309,never married,0,NA,bachelor's,male,not too happy,moderately satisfied,NA,ballot a
2016,310,never married,2,25,high school,female,pretty happy,moderately satisfied,936,ballot b
2016,311,married,2,NA,graduate,male,pretty happy,moderately satisfied,74880,ballot b
2016,312,married,3,58,bachelor's,male,pretty happy,NA,164382.03756,ballot b
2016,313,widowed,2,60,high school,male,very happy,very satisfied,46800,ballot c
2016,314,married,3,44,bachelor's,male,pretty happy,very satisfied,17550,ballot b
2016,315,divorced,0,69,bachelor's,male,pretty happy,NA,7605,ballot c
2016,316,married,4,66,high school,male,very happy,very satisfied,46800,ballot b
2016,317,divorced,4,43,high school,male,very happy,NA,21060,ballot a
2016,318,married,2,37,high school,male,very happy,a little dissatisfied,11115,ballot b
2016,319,never married,1,28,high school,male,pretty happy,NA,NA,ballot a
2016,320,married,2,69,bachelor's,female,pretty happy,NA,NA,ballot a
2016,321,never married,4,27,less than high school,female,pretty happy,moderately satisfied,NA,ballot c
2016,322,divorced,0,60,bachelor's,female,pretty happy,moderately satisfied,46800,ballot b
2016,323,married,4,62,associate/junior college,female,pretty happy,NA,NA,ballot a
2016,324,divorced,8,74,high school,male,not too happy,NA,NA,ballot a
